TOTAL_TEXT_CHANGED=1027

factions/adepta-sororitas.js | core-leader | "领袖" | len 999 -> 2 | "某些 **角色(Character)** 单位在牌表上列有「领袖」。这些 **角"… -> "领袖"
factions/adepta-sororitas.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 136 -> 6 | "某些模型的能力栏中列有「不觉疼痛x+」。每次具此能力的模型受到伤害并将失去一个伤"… -> "不觉疼痛5+"
factions/adepta-sororitas.js | core-leader | "领袖" | len 995 -> 2 | "部分 **角色(Character)** 单位的资料卡上列有「领袖」。这类 **"… -> "领袖"
factions/adepta-sororitas.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/adepta-sororitas.js | core-leader | "领袖" | len 999 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这样的 *"… -> "领袖"
factions/adepta-sororitas.js | core-deadly-demise-d3 | "致命破灭" | len 154 -> 6 | "某些模型的能力栏中列有「致命破灭 x」。当此类模型被摧毁时，在将其移出游戏前掷一"… -> "致命破灭D3"
factions/adepta-sororitas.js | core-deep-strike | "深入打击" | len 180 -> 4 | "在「宣告战阵」阶段，若单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/adepta-sororitas.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为附属单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/adepta-sororitas.js | core-deadly-demise-d3 | "致命破灭" | len 158 -> 6 | "部分模型的能力中列有「毁灭性决心 x」。当此类模型被摧毁时，在将其移出游戏前掷一"… -> "致命破灭D3"
factions/adepta-sororitas.js | core-deadly-demise-d3 | "致命破灭" | len 161 -> 6 | "某些模型在其能力中列有「致命破灭 x」。当这样的模型被摧毁时，在将其移出游戏前掷"… -> "致命破灭D3"
factions/adepta-sororitas.js | core-deadly-demise-1 | "致命破灭" | len 151 -> 5 | "部分模型的能力中有「致命破灭 x」。当该模型被摧毁时，于将其移除出场前掷一次 D"… -> "致命破灭1"
factions/adepta-sororitas.js | core-leader | "领袖" | len 989 -> 2 | "部分 **角色(Character)** 单位的资料卡上标有「领袖」。这些 **"… -> "领袖"
factions/adepta-sororitas.js | core-deadly-demise-1 | "致命破灭" | len 151 -> 5 | "部分模型的能力中有「致命破灭 x」。当该模型被摧毁时，于将其移除出场前掷一次 D"… -> "致命破灭1"
factions/adepta-sororitas.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 136 -> 6 | "某些模型的能力栏中列有「不觉疼痛x+」。每次具此能力的模型受到伤害并将失去一个伤"… -> "不觉疼痛5+"
factions/adepta-sororitas.js | core-leader | "领袖" | len 982 -> 2 | "有些**角色(Character)**单位的列表上标有「领袖」。这些**角色(C"… -> "领袖"
factions/adepta-sororitas.js | core-deadly-demise-1 | "致命破灭" | len 151 -> 5 | "部分模型的能力中有「致命破灭 x」。当该模型被摧毁时，于将其移除出场前掷一次 D"… -> "致命破灭1"
factions/adepta-sororitas.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 136 -> 6 | "某些模型的能力栏中列有「不觉疼痛x+」。每次具此能力的模型受到伤害并将失去一个伤"… -> "不觉疼痛5+"
factions/adepta-sororitas.js | core-deadly-demise-1 | "致命破灭" | len 151 -> 5 | "部分模型的能力中有「致命破灭 x」。当该模型被摧毁时，于将其移除出场前掷一次 D"… -> "致命破灭1"
factions/adepta-sororitas.js | core-leader | "领袖" | len 991 -> 2 | "某些 **角色(Character)** 单位的数据表上列有「领袖」。此类 **"… -> "领袖"
factions/adepta-sororitas.js | core-leader | "领袖" | len 940 -> 2 | "部分**角色(Character)**单位的资料表上列有「领袖」。此类**角色("… -> "领袖"
factions/adepta-sororitas.js | core-deadly-demise-1 | "致命破灭" | len 156 -> 5 | "部分模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在从战场移除前掷一个D"… -> "致命破灭1"
factions/adepta-sororitas.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 146 -> 6 | "有些模型能力中列有「不觉疼痛 x+」。每当具有此能力的模型受到伤害并因此将失去一"… -> "不觉疼痛5+"
factions/adepta-sororitas.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 146 -> 6 | "有些模型能力中列有「不觉疼痛 x+」。每当具有此能力的模型受到伤害并因此将失去一"… -> "不觉疼痛5+"
factions/adepta-sororitas.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/adepta-sororitas.js | core-leader | "领袖" | len 922 -> 2 | "部分**角色(Character)**单位在资料表上列有「领袖」。此类**角色("… -> "领袖"
factions/adepta-sororitas.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/adepta-sororitas.js | core-infiltrators | "渗透" | len 70 -> 2 | "在部署期间，如果一个单位中的每个模型都具有此能力，那麽当你部署它时，它可以部署在"… -> "渗透"
factions/adepta-sororitas.js | core-deadly-demise-d3 | "致命破灭" | len 154 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当该模型被摧毁时，在将其移出场地前掷一次 "… -> "致命破灭D3"
factions/adepta-sororitas.js | core-leader | "领袖" | len 925 -> 2 | "某些 **角色(Character)** 单位的资料卡上列有「领袖」。这类 **"… -> "领袖"
factions/adepta-sororitas.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/adepta-sororitas.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/adepta-sororitas.js | core-deadly-demise-d3 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D3"
factions/adepta-sororitas.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为联合单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/adepta-sororitas.js | core-feel-no-pain-6 | "不觉疼痛6+" | len 135 -> 6 | "某些模型的能力栏中列有「不觉疼痛x+」。每次具此能力的模型受到伤害并将失去一个伤"… -> "不觉疼痛6+"
factions/adepta-sororitas.js | core-infiltrators | "渗透" | len 77 -> 2 | "于部署时，若单位中的每个模型都具有此能力，则当你部署该单位时，可以将其部署在战场"… -> "渗透"
factions/adepta-sororitas.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为联合单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/adeptus-mechanicus.js | core-deadly-demise-d3 | "致命破灭" | len 158 -> 6 | "部分模型的能力中列有「毁灭性决心 x」。当此类模型被摧毁时，在将其移出游戏前掷一"… -> "致命破灭D3"
factions/adeptus-mechanicus.js | core-deadly-demise-d3 | "致命破灭" | len 161 -> 6 | "某些模型在其能力中列有「致命破灭 x」。当这样的模型被摧毁时，在将其移出游戏前掷"… -> "致命破灭D3"
factions/adeptus-mechanicus.js | core-deadly-demise-d3 | "致命破灭" | len 147 -> 6 | "某些模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其从场地移除前掷一"… -> "致命破灭D3"
